OBJECTID,RecordID,Name,Address_Line_1,Address_Line_2,Borough,Cuisine
1780,50016891,DIRT CANDY,86 ALLEN STREET,"New York, NY 10002",Manhattan,Vegetarian
1789,50056216,DIVYA'S KITCHEN,25 1 AVENUE,"New York, NY 10003",Manhattan,Vegetarian
1795,50136482,DO NOT FEED ALLIGATORS,337 BLEECKER STREET,"New York, NY 10014",Manhattan,Coffee/Tea
1799,50100184,CRAB HOUSE,135 EAST   55 STREET,"New York, NY 10022",Manhattan,Seafood
1800,50136685,CRIOLLAS,888 8 AVENUE,"New York, NY 10019",Manhattan,Latin American
1803,50140991,FRANKLIN SQUARE CAFE @ HARPER COLLINS,195 BROADWAY,"New York, NY 10007",Manhattan,American 
1808,50094653,"COMPASS GROUP USA, INC. @ WELLS FARGO",30 HUDSON YARDS,"New York, NY 10001",Manhattan,American 
1810,50105408,DAVIDOVICH BAKERY,88 ESSEX STREET,"New York, NY 10002",Manhattan,Bakery Products/Desserts
1815,50134682,CONMIGO,1410 MADISON AVENUE,"New York, NY 10029",Manhattan,Mexican
1819,50138405,CREDIT AGRICOLE DINING,1301 AVENUE OF THE AMERICAS,"New York, NY 10019",Manhattan,American 
1829,50115694,CRUMBLY CAFE & BAKERY,997 1 AVENUE,"New York, NY 10022",Manhattan,Bakery Products/Desserts
1835,50141326,Cubby's,630 10 AVENUE,"New York, NY 10036",Manhattan,Hamburgers
1839,50111156,CORK WINE BAR,69 THOMPSON STREET,"New York, NY 10012",Manhattan,French
1852,50130131,THE OFFICE OF MR. MOTO,120 SAINT MARKS PLACE,"New York, NY 10009",Manhattan,Japanese
1855,50116852,DEERFIELD / CURE /NaCl  Cafe,345 PARK AVENUE SOUTH,"New York, NY 10010",Manhattan,Other
1856,50137611,DON DON,37 WEST   43 STREET,"New York, NY 10036",Manhattan,Korean
1859,50051612,DOS CAMINOS,1567 BROADWAY,"New York, NY 10036",Manhattan,Mexican
1867,50107442,DOUBLE CHICKEN PLEASE,115 ALLEN STREET,"New York, NY 10002",Manhattan,Chicken
1868,50068836,DA CAPO,322 COLUMBUS AVENUE,"New York, NY 10023",Manhattan,Italian
1880,50128856,CRUMBL COOKIES UPPER EAST SIDE,1195 3 AVENUE,"New York, NY 10021",Manhattan,Bakery Products/Desserts
1883,50118137,DRAGON SUSHI,1272 AMSTERDAM AVENUE,"New York, NY 10027",Manhattan,Japanese
1884,50129452,CRUMBL COOKIES UPPER WEST SIDE,301 COLUMBUS AVENUE,"New York, NY 10023",Manhattan,Bakery Products/Desserts
1893,50100995,DAIKANYAMA,1000 THIRD AVENUE,"New York, NY 10022",Manhattan,Japanese
1898,50094935,DUNKIN,2414 BROADWAY,"New York, NY 10024",Manhattan,Donuts
1900,50084715,DEVOCION,25 EAST   20 STREET,"New York, NY 10003",Manhattan,Coffee/Tea
1901,50141457,DUNKIN,185 GREENWICH STREET,"New York, NY 10007",Manhattan,Coffee/Tea
1904,50118540,DADDIES NYC,450 HUDSON STREET,"New York, NY 10014",Manhattan,Italian
1905,50113868,DAILY PROVISIONS,29 BEDFORD STREET,"New York, NY 10014",Manhattan,American 
1907,50131165,CURRENT COFFEE,348 BOWERY,"New York, NY 10012",Manhattan,Coffee/Tea
1909,50114874,DAILY PROVISIONS,435 WEST   31 STREET,"New York, NY 10001",Manhattan,American 
1912,50125904,CURRY HOUSE,9 PELL STREET,"New York, NY 10013",Manhattan,Thai
1916,50043586,DUNKIN,1995 AMSTERDAM AVENUE,"New York, NY 10032",Manhattan,Donuts
1917,50139164,DINER 24,283 3 AVENUE,"New York, NY 10010",Manhattan,American 
1918,50080887,DUNKIN,6 EAST   46 STREET,"New York, NY 10017",Manhattan,Donuts
1923,50101082,DANTE WEST VILLAGE,551 HUDSON STREET,"New York, NY 10014",Manhattan,Italian
1924,50123927,DIRTY TACO,89 EAST   42 STREET,"New York, NY 10017",Manhattan,Mexican
1925,50122466,DALI NYC,37 MARKET STREET,"New York, NY 10002",Manhattan,Tapas
1927,50089183,DUNKIN,175 VARICK STREET,"New York, NY 10014",Manhattan,American 
1928,50109648,DAME,87 MACDOUGAL STREET,"New York, NY 10012",Manhattan,English
1930,50115776,DISCOVERY,230 PARK AVENUE SOUTH,"New York, NY 10003",Manhattan,American 
1931,50044841,DUNKIN BASKIN ROBBINS,57 EAST  125 STREET,"New York, NY 10035",Manhattan,Donuts
1935,50035310,DANTE,79 MACDOUGAL STREET,"New York, NY 10012",Manhattan,Italian
1937,50139326,DUNKIN DONUTS,185 GREENWICH STREET,"New York, NY 10007",Manhattan,Coffee/Tea
1941,50089250,DUNKIN,1482 1 AVENUE,"New York, NY 10075",Manhattan,Donuts
1942,50130872,DUNKIN DONUTS BASKIN ROBBINS,2600 BROADWAY,"New York, NY 10025",Manhattan,Coffee/Tea
1943,50105561,DAVIDOVICH BAKERY,79 CLINTON STREET,"New York, NY 10002",Manhattan,Bakery Products/Desserts
1946,50126040,DAVES HOT CHICKEN,944 8 AVENUE,"New York, NY 10019",Manhattan,American 
1947,50089195,DUNKIN',455 PARK AVENUE SOUTH,"New York, NY 10016",Manhattan,Donuts
1949,50128096,DAVEY'S ICE CREAM,309 EAST    9 STREET,"New York, NY 10003",Manhattan,Frozen Desserts
1950,50095406,DUNKIN'/UHALL COMMONS CAFE,110 EAST   14 STREET,"New York, NY 10003",Manhattan,American 
1951,50119329,DD SOUP DUMPLING,321A WEST   42 STREET,"New York, NY 10036",Manhattan,Asian/Asian Fusion
1952,50108847,DAVIDOVICH BAKERY,150 EAST    3 STREET,"New York, NY 10009",Manhattan,Bagels/Pretzels
1953,50111193,DUNKIN-BASKIN ROBBINS,361 3 AVENUE,"New York, NY 10016",Manhattan,Donuts
1958,50140967,DDO BAR,601 WEST   26 STREET,"New York, NY 10001",Manhattan,Korean
1959,50053477,DY JUICE BAR,24 VESTRY STREET,"New York, NY 10013",Manhattan,"Juice, Smoothies, Fruit Salads"
1960,50131267,D & P 44TH FLOOR COFFEE BAR/MARKET,66 HUDSON BLVD EAST,"New York, NY 10001",Manhattan,Other
1961,50131265,D & P 51ST FLOOR CAFE,66 HUDSON BLVD EAST,"New York, NY 10001",Manhattan,Other
1966,50139761,EASTSIDE STORY,265 EAST   10 STREET,"New York, NY 10009",Manhattan,Mediterranean
1974,50115683,DEUTSCHE TRADER CAFE,10 COLUMBUS CIRCLE,"New York, NY 10019",Manhattan,Coffee/Tea
1977,50089257,DUNKIN,535 AMSTERDAM AVENUE,"New York, NY 10024",Manhattan,Donuts
1981,50106866,DOLAR SHOP,55 3 AVENUE,"New York, NY 10003",Manhattan,Chinese
1985,50067502,DUNKIN BASKIN ROBINS,147 EAST  116 STREET,"New York, NY 10029",Manhattan,Donuts
1991,50118792,DIG,630 3 AVENUE,"New York, NY 10017",Manhattan,American 
1992,50074873,DAVELLE,102 SUFFOLK STREET,"New York, NY 10002",Manhattan,Japanese
1994,50098025,DIG INN,127 4 AVENUE,"New York, NY 10003",Manhattan,American 
1995,50128480,DAVEY'S ICE CREAM,383 WEST   31 STREET,"New York, NY 10001",Manhattan,Frozen Desserts
1997,50098467,DIG ON BLEECKER,232 BLEECKER STREET,"New York, NY 10014",Manhattan,American 
2000,50099743,DIG INN,275 7 AVENUE,"New York, NY 10001",Manhattan,American 
