,lon,short_name,region_id,capacity,station_id,name,lat,rental_uris.android,rental_uris.ios,geometry,index_right,zone
1940,-73.99392,6257.06,71,33,1960021358478625244,W 27 St & 7 Ave,40.74665,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.99392 40.74665),1146,Penn Station/Madison Sq West
1942,-73.944846,7599.02,71,31,b976906e-81c4-44c5-a160-e17815c0d47b,E 115 St & Madison Ave,40.7989445,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.944846 40.7989445),350,East Harlem North
1945,-73.954295,7842.16,71,19,324e55da-fec0-43a2-b622-27774381ab7f,Amsterdam Ave & W 131 St,40.816355,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.954295 40.816355),951,Manhattanville
1947,-73.98583620786667,5553.10,71,68,93e2e1a5-49c5-41f8-a6bf-b399b6a5140d,E 2 St & Ave A,40.72307749068673,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.98583620786667 40.72307749068673),451,East Village
1951,-73.98864984512329,5593.01,71,75,7b0227aa-bbf5-4731-a49a-765b4afac483,E 1 St & 1 Ave,40.72335597960796,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.98864984512329 40.72335597960796),451,East Village
1956,-74.00451887,6306.06,71,77,66dc2606-0aca-11e7-82f6-3863bb44ef7c,W 22 St & 10 Ave,40.74691959,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-74.00451887 40.74691959),319,East Chelsea
1957,-73.918598,8613.09,71,39,a5bd1f58-7df8-4df6-9636-372f1bc194be,10 Ave & W 207 St,40.864632,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.918598 40.864632),710,Inwood
1961,-73.98671329021454,6131.12,71,75,06109e92-4363-445a-9743-0457f6799530,Madison Ave & E 26 St,40.742684734875695,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.98671329021454 40.742684734875695),1413,Union Sq
1962,-73.98978041,5593.04,71,78,66dc176f-0aca-11e7-82f6-3863bb44ef7c,E 4 St & 2 Ave,40.7262807,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.98978041 40.7262807),451,East Village
1967,-73.992949,5947.06,71,73,1963272613486484230,E 15 St & 5 Ave,40.736592,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.992949 40.736592),1413,Union Sq
1971,-74.00149746,6148.02,71,74,66db28b5-0aca-11e7-82f6-3863bb44ef7c,W 17 St & 8 Ave,40.74177603,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-74.00149746 40.74177603),319,East Chelsea
1972,-73.97929430007935,6626.11,71,57,d29ea280-8b64-4a35-b12b-245525ae2a3a,W 48 St &  Rockefeller Plaza,40.75776935448309,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.97929430007935 40.75776935448309),1012,Midtown Center
1976,-74.008119,6039.06,71,51,66dbf215-0aca-11e7-82f6-3863bb44ef7c,Washington St & Gansevoort St,40.739323,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-74.008119 40.739323),989,Meatpacking/West Village West
1979,-73.957163,7865.09,71,21,26599393-b967-44a6-a998-cb72ca53cd9e,Broadway & W 131 St,40.817555,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.957163 40.817555),951,Manhattanville
1983,-74.00108054280281,5096.12,71,45,014a931b-8e1c-438a-8a22-f267ddd1e0d2,Peck Slip & South St,40.7075188830923,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-74.00108054280281 40.7075188830923),1241,Seaport
