lat,lon,processed,new_records,error
40.78,-73.96,True,68,Too many results: likely to exceed 240 limit
40.78,-73.955,True,29,Too many results: likely to exceed 240 limit
40.78,-73.95,True,45,Too many results: likely to exceed 240 limit
40.78,-73.945,True,20,
40.78,-73.94,True,0,
40.78,-73.935,True,1,
40.78,-73.93,True,0,
40.78,-73.925,True,2,
40.785,-74.02,True,60,
40.785,-74.015,True,37,
40.785,-74.01,True,12,
40.785,-74.005,True,4,
40.785,-74.0,True,0,
40.785,-73.995,True,0,
40.785,-73.99,True,0,
40.785,-73.985,True,10,
40.785,-73.98,True,65,Too many results: likely to exceed 240 limit
40.785,-73.975,True,24,Too many results: likely to exceed 240 limit
40.785,-73.97,True,12,
40.785,-73.965,True,0,
40.785,-73.96,True,20,
40.785,-73.955,True,41,Too many results: likely to exceed 240 limit
40.785,-73.95,True,14,Too many results: likely to exceed 240 limit
40.785,-73.945,True,37,
40.785,-73.94,True,0,
40.785,-73.935,True,0,
40.785,-73.93,True,0,
40.785,-73.925,True,0,
40.79,-74.02,True,40,
40.79,-74.015,True,15,
40.79,-74.01,True,20,
40.79,-74.005,True,7,
40.79,-74.0,True,2,
40.79,-73.995,True,0,
40.79,-73.99,True,0,
40.79,-73.985,True,0,
40.79,-73.98,True,15,
40.79,-73.975,True,54,Too many results: likely to exceed 240 limit
40.79,-73.97,True,27,Too many results: likely to exceed 240 limit
40.79,-73.965,True,5,
40.79,-73.96,True,0,
40.79,-73.955,True,17,
40.79,-73.95,True,55,
40.79,-73.945,True,45,Too many results: likely to exceed 240 limit
40.79,-73.94,True,17,
40.79,-73.935,True,2,
40.79,-73.93,True,1,
40.79,-73.925,True,1,
40.795,-74.02,True,10,
40.795,-74.015,True,28,
40.795,-74.01,True,14,
40.795,-74.005,True,7,
40.795,-74.0,True,3,
40.795,-73.995,True,0,
40.795,-73.99,True,0,
40.795,-73.985,True,0,
40.795,-73.98,True,5,
40.795,-73.975,True,44,
40.795,-73.97,True,39,Too many results: likely to exceed 240 limit
40.795,-73.965,True,29,
40.795,-73.96,True,3,
40.795,-73.955,True,22,
40.795,-73.95,True,15,
40.795,-73.945,True,49,Too many results: likely to exceed 240 limit
40.795,-73.94,True,50,Too many results: likely to exceed 240 limit
40.795,-73.935,True,25,
40.795,-73.93,True,1,
40.795,-73.925,True,0,
40.8,-74.02,True,10,
40.8,-74.015,True,5,
40.8,-74.01,True,16,
40.8,-74.005,True,1,
40.8,-74.0,True,4,
40.8,-73.995,True,7,
40.8,-73.99,True,0,
40.8,-73.985,True,0,
40.8,-73.98,True,0,
40.8,-73.975,True,14,
40.8,-73.97,True,59,
40.8,-73.965,True,18,Too many results: likely to exceed 240 limit
40.8,-73.96,True,46,
40.8,-73.955,True,33,
40.8,-73.95,True,7,
40.8,-73.945,True,25,
40.8,-73.94,True,34,Too many results: likely to exceed 240 limit
40.8,-73.935,True,2,
40.8,-73.93,True,0,
40.8,-73.925,True,5,
40.805,-74.02,True,10,
40.805,-74.015,True,10,
40.805,-74.01,True,2,
40.805,-74.005,True,9,
40.805,-74.0,True,3,
40.805,-73.995,True,13,
40.805,-73.99,True,3,
40.805,-73.985,True,0,
40.805,-73.98,True,0,
40.805,-73.975,True,0,
40.805,-73.97,True,23,
40.805,-73.965,True,17,
40.805,-73.96,True,17,
40.805,-73.955,True,32,
40.805,-73.95,True,54,
40.805,-73.945,True,19,
40.805,-73.94,True,3,
