place_id,day,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
ChIJed_amqlZwokRZ2QQm75dbaI,Friday,27,21,19,16,0,0,0,0,0,0,0,22,30,37,43,46,50,54,60,66,73,83,86,80
ChIJed_amqlZwokRZ2QQm75dbaI,Saturday,55,30,15,12,0,0,0,0,0,0,0,13,21,30,47,69,86,95,100,94,95,94,90,77
ChIJed_amqlZwokRZ2QQm75dbaI,Sunday,53,37,36,27,0,0,0,0,0,0,0,27,37,40,46,46,52,48,48,55,67,67,53,37
ChIJ732mealZwokRofYjjral1pY,Monday,0,0,0,0,0,0,0,0,0,0,0,77,100,94,66,55,50,50,27,33,38,44,0,0
ChIJ732mealZwokRofYjjral1pY,Tuesday,0,0,0,0,0,0,0,0,0,0,0,55,61,50,33,38,55,55,66,66,72,38,0,0
ChIJ732mealZwokRofYjjral1pY,Wednesday,0,0,0,0,0,0,0,0,0,0,0,11,22,16,16,22,61,55,83,44,27,16,0,0
ChIJ732mealZwokRofYjjral1pY,Thursday,0,0,0,0,0,0,0,0,0,0,0,27,33,50,44,55,44,55,72,61,61,44,0,0
ChIJ732mealZwokRofYjjral1pY,Friday,0,0,0,0,0,0,0,0,0,0,0,38,72,66,72,66,61,44,38,44,50,50,0,0
ChIJ732mealZwokRofYjjral1pY,Saturday,0,0,0,0,0,0,0,0,0,0,0,38,55,66,100,77,72,44,55,44,33,22,0,0
ChIJ732mealZwokRofYjjral1pY,Sunday,0,0,0,0,0,0,0,0,0,0,0,16,27,44,61,55,33,27,38,44,44,33,0,0
ChIJW3PAHalZwokRrw41djg_Tik,Monday,13,20,17,17,0,0,0,0,0,0,0,27,27,27,41,48,58,48,65,44,44,24,31,34
ChIJW3PAHalZwokRrw41djg_Tik,Tuesday,51,41,51,37,0,0,0,0,0,0,0,27,24,20,17,17,20,27,44,41,44,37,24,27
ChIJW3PAHalZwokRrw41djg_Tik,Wednesday,27,31,20,27,0,0,0,0,0,0,0,27,31,31,34,20,20,27,31,44,44,37,34,27
ChIJW3PAHalZwokRrw41djg_Tik,Thursday,24,13,20,13,0,0,0,0,0,0,0,24,24,17,31,55,58,58,51,65,55,51,51,68
ChIJW3PAHalZwokRrw41djg_Tik,Friday,79,65,44,37,0,0,0,0,0,0,0,10,13,31,31,48,34,48,37,48,41,48,62,82
ChIJW3PAHalZwokRrw41djg_Tik,Saturday,65,44,31,17,0,0,0,0,0,0,0,20,20,27,48,48,58,75,93,100,89,89,75,62
ChIJW3PAHalZwokRrw41djg_Tik,Sunday,37,27,13,3,0,0,0,0,0,0,0,17,37,34,48,48,44,31,34,20,31,27,31,20
ChIJ3_s_v69ZwokRJldq7sPweF0,Monday,0,0,0,0,0,0,0,0,0,0,0,54,69,81,69,51,39,42,54,39,27,12,0,0
ChIJ3_s_v69ZwokRJldq7sPweF0,Tuesday,0,0,0,0,0,0,0,0,0,0,0,69,93,100,69,45,39,51,51,48,36,36,0,0
ChIJ3_s_v69ZwokRJldq7sPweF0,Wednesday,0,0,0,0,0,0,0,0,0,0,0,45,48,51,45,48,54,57,57,39,30,18,0,0
ChIJ3_s_v69ZwokRJldq7sPweF0,Thursday,0,0,0,0,0,0,0,0,0,0,0,45,72,96,84,69,66,63,63,42,39,24,0,0
ChIJ3_s_v69ZwokRJldq7sPweF0,Friday,0,0,0,0,0,0,0,0,0,0,0,45,69,84,84,60,42,33,39,36,33,30,0,0
ChIJ3_s_v69ZwokRJldq7sPweF0,Saturday,0,0,0,0,0,0,0,0,0,0,0,36,54,63,48,33,24,36,36,45,39,42,0,0
ChIJ3_s_v69ZwokRJldq7sPweF0,Sunday,0,0,0,0,0,0,0,0,0,0,0,30,30,45,48,57,54,66,57,39,24,15,0,0
ChIJhZJ3Yq5ZwokRxB-xpb0ZHyQ,Monday,63,69,77,72,55,61,55,47,63,72,75,50,36,33,50,52,66,52,41,36,55,63,63,52
ChIJhZJ3Yq5ZwokRxB-xpb0ZHyQ,Tuesday,52,36,44,44,33,36,47,47,41,44,44,63,72,83,58,38,22,30,36,33,25,36,47,63
ChIJhZJ3Yq5ZwokRxB-xpb0ZHyQ,Wednesday,38,38,36,47,63,77,75,61,47,41,50,47,55,63,61,58,58,61,55,58,50,55,55,61
ChIJhZJ3Yq5ZwokRxB-xpb0ZHyQ,Thursday,55,44,41,55,44,47,55,58,52,63,58,63,63,69,63,55,44,44,55,55,52,33,27,27
ChIJhZJ3Yq5ZwokRxB-xpb0ZHyQ,Friday,44,52,61,44,41,75,100,69,47,50,58,61,44,36,44,47,61,58,69,66,83,63,66,55
ChIJhZJ3Yq5ZwokRxB-xpb0ZHyQ,Saturday,77,52,38,25,61,50,41,25,22,33,50,66,61,52,50,58,69,83,58,52,36,50,52,63
ChIJhZJ3Yq5ZwokRxB-xpb0ZHyQ,Sunday,47,30,41,52,66,69,66,75,86,77,61,63,47,47,44,80,91,88,47,33,25,30,41,50
ChIJkZRgM6xZwokRNp1lrJM2hL8,Monday,0,0,0,0,0,0,2,4,4,8,10,11,9,10,10,12,9,8,8,8,5,3,0,0
ChIJkZRgM6xZwokRNp1lrJM2hL8,Tuesday,0,0,0,0,0,0,8,10,5,4,5,8,11,13,12,11,8,6,4,4,6,7,8,0
ChIJkZRgM6xZwokRNp1lrJM2hL8,Wednesday,0,0,0,0,0,0,4,5,8,10,11,10,9,8,10,9,10,8,7,5,7,12,10,9
ChIJkZRgM6xZwokRNp1lrJM2hL8,Thursday,0,0,0,0,0,0,4,4,6,8,11,15,20,19,14,12,16,18,17,16,13,16,19,19
