grid_id,lat,lon,geometry,restaurant_count,weighted,population
M-0014,40.688547579212,-74.016847274044,"POLYGON ((-74.0153766858087039 40.6874214499499018, -74.0153766858087039 40.6896737022021568, -74.0183178622792894 40.6896737022021568, -74.0183178622792894 40.6874214499499018, -74.0153766858087039 40.6874214499499018))",0.0,1,0.0
M-0015,40.68854757921199,-74.01390609757341,"POLYGON ((-74.0124355093381183 40.6874214499499018, -74.0124355093381183 40.6896737022021568, -74.0153766858087039 40.6896737022021568, -74.0153766858087039 40.6874214499499018, -74.0124355093381183 40.6874214499499018))",0.0,1,0.0
M-0016,40.68854757921199,-74.01096492110283,"POLYGON ((-74.0094943328675328 40.6874214499499018, -74.0094943328675328 40.6896737022021568, -74.0124355093381183 40.6896737022021568, -74.0124355093381183 40.6874214499499018, -74.0094943328675328 40.6874214499499018))",0.0,1,0.0
M-0017,40.69079983146415,-74.04625903874985,"POLYGON ((-74.0447884505145595 40.6896737022021568, -74.0447884505145595 40.6919259544544119, -74.0477296269851450 40.6919259544544119, -74.0477296269851450 40.6896737022021568, -74.0447884505145595 40.6896737022021568))",0.0,1,0.0
M-0018,40.69079983146415,-74.04331786227927,"POLYGON ((-74.0418472740439739 40.6896737022021568, -74.0418472740439739 40.6919259544544119, -74.0447884505145595 40.6919259544544119, -74.0447884505145595 40.6896737022021568, -74.0418472740439739 40.6896737022021568))",0.0,1,0.0
M-0019,40.69079983146415,-74.02272962698517,"POLYGON ((-74.0212590387498750 40.6896737022021568, -74.0212590387498750 40.6919259544544119, -74.0242002152204606 40.6919259544544119, -74.0242002152204606 40.6896737022021568, -74.0212590387498750 40.6896737022021568))",0.0,1,0.0
M-0020,40.69079983146415,-74.01978845051458,"POLYGON ((-74.0183178622792894 40.6896737022021568, -74.0183178622792894 40.6919259544544119, -74.0212590387498750 40.6919259544544119, -74.0212590387498750 40.6896737022021568, -74.0183178622792894 40.6896737022021568))",1.0,1,0.0
M-0021,40.69079983146415,-74.016847274044,"POLYGON ((-74.0153766858087039 40.6896737022021568, -74.0153766858087039 40.6919259544544119, -74.0183178622792894 40.6919259544544119, -74.0183178622792894 40.6896737022021568, -74.0153766858087039 40.6896737022021568))",0.0,1,0.0
M-0022,40.69079983146417,-74.01390609757341,"POLYGON ((-74.0124355093381183 40.6896737022021568, -74.0124355093381183 40.6919259544544119, -74.0153766858087039 40.6919259544544119, -74.0153766858087039 40.6896737022021568, -74.0124355093381183 40.6896737022021568))",0.0,1,0.0
M-0023,40.69079983146415,-74.01096492110283,"POLYGON ((-74.0094943328675328 40.6896737022021568, -74.0094943328675328 40.6919259544544119, -74.0124355093381183 40.6919259544544119, -74.0124355093381183 40.6896737022021568, -74.0094943328675328 40.6896737022021568))",0.0,1,0.0
M-0024,40.69305208371629,-74.01978845051458,"POLYGON ((-74.0183178622792894 40.6919259544544119, -74.0183178622792894 40.6941782067066669, -74.0212590387498750 40.6941782067066669, -74.0212590387498750 40.6919259544544119, -74.0183178622792894 40.6919259544544119))",0.0,1,0.0
M-0025,40.69305208371631,-74.016847274044,"POLYGON ((-74.0153766858087039 40.6919259544544119, -74.0153766858087039 40.6941782067066669, -74.0183178622792894 40.6941782067066669, -74.0183178622792894 40.6919259544544119, -74.0153766858087039 40.6919259544544119))",1.0,1,0.0
M-0026,40.69305208371629,-74.01390609757341,"POLYGON ((-74.0124355093381183 40.6919259544544119, -74.0124355093381183 40.6941782067066669, -74.0153766858087039 40.6941782067066669, -74.0153766858087039 40.6919259544544119, -74.0124355093381183 40.6919259544544119))",0.0,1,0.0
M-0027,40.69305208371631,-74.01096492110283,"POLYGON ((-74.0094943328675328 40.6919259544544119, -74.0094943328675328 40.6941782067066669, -74.0124355093381183 40.6941782067066669, -74.0124355093381183 40.6919259544544119, -74.0094943328675328 40.6919259544544119))",0.0,1,0.0
M-0028,40.69755658822061,-74.04331786227927,"POLYGON ((-74.0418472740439739 40.6964304589589219, -74.0418472740439739 40.6986827112111769, -74.0447884505145595 40.6986827112111769, -74.0447884505145595 40.6964304589589219, -74.0418472740439739 40.6964304589589219))",0.0,1,0.0
M-0029,40.69755658822061,-74.04037668580868,"POLYGON ((-74.0389060975733884 40.6964304589589219, -74.0389060975733884 40.6986827112111769, -74.0418472740439739 40.6986827112111769, -74.0418472740439739 40.6964304589589219, -74.0389060975733884 40.6964304589589219))",0.0,1,0.0
M-0030,40.69755658822061,-74.0374355093381,"POLYGON ((-74.0359649211028028 40.6964304589589219, -74.0359649211028028 40.6986827112111769, -74.0389060975733884 40.6986827112111769, -74.0389060975733884 40.6964304589589219, -74.0359649211028028 40.6964304589589219))",0.0,1,0.0
M-0031,40.69980884047276,-74.04331786227927,"POLYGON ((-74.0418472740439739 40.6986827112111769, -74.0418472740439739 40.7009349634634319, -74.0447884505145595 40.7009349634634319, -74.0447884505145595 40.6986827112111769, -74.0418472740439739 40.6986827112111769))",0.0,1,0.0
M-0032,40.69980884047274,-74.04037668580868,"POLYGON ((-74.0389060975733884 40.6986827112111769, -74.0389060975733884 40.7009349634634319, -74.0418472740439739 40.7009349634634319, -74.0418472740439739 40.6986827112111769, -74.0389060975733884 40.6986827112111769))",0.0,1,0.0
M-0033,40.69980884047276,-74.0374355093381,"POLYGON ((-74.0359649211028028 40.6986827112111769, -74.0359649211028028 40.7009349634634319, -74.0389060975733884 40.7009349634634319, -74.0389060975733884 40.6986827112111769, -74.0359649211028028 40.6986827112111769))",0.0,1,0.0
M-0034,40.69980884047276,-74.01390609757341,"POLYGON ((-74.0124355093381183 40.6986827112111769, -74.0124355093381183 40.7009349634634319, -74.0153766858087039 40.7009349634634319, -74.0153766858087039 40.6986827112111769, -74.0124355093381183 40.6986827112111769))",0.0,1,74.0
M-0035,40.69980884047276,-74.01096492110283,"POLYGON ((-74.0094943328675328 40.6986827112111769, -74.0094943328675328 40.7009349634634319, -74.0124355093381183 40.7009349634634319, -74.0124355093381183 40.6986827112111769, -74.0094943328675328 40.6986827112111769))",0.0,1,74.0
M-0036,40.69980884047276,-74.00802374463224,"POLYGON ((-74.0065531563969472 40.6986827112111769, -74.0065531563969472 40.7009349634634319, -74.0094943328675328 40.7009349634634319, -74.0094943328675328 40.6986827112111769, -74.0065531563969472 40.6986827112111769))",0.0,1,74.0
M-0037,40.7020610927249,-74.016847274044,"POLYGON ((-74.0153766858087039 40.7009349634634319, -74.0153766858087039 40.7031872157156869, -74.0183178622792894 40.7031872157156869, -74.0183178622792894 40.7009349634634319, -74.0153766858087039 40.7009349634634319))",0.0,1,0.0
M-0038,40.70206109272491,-74.01390609757341,"POLYGON ((-74.0124355093381183 40.7009349634634319, -74.0124355093381183 40.7031872157156869, -74.0153766858087039 40.7031872157156869, -74.0153766858087039 40.7009349634634319, -74.0124355093381183 40.7009349634634319))",13.0,2,149.0
M-0039,40.7020610927249,-74.01096492110283,"POLYGON ((-74.0094943328675328 40.7009349634634319, -74.0094943328675328 40.7031872157156869, -74.0124355093381183 40.7031872157156869, -74.0124355093381183 40.7009349634634319, -74.0094943328675328 40.7009349634634319))",20.0,3,224.0
M-0040,40.7020610927249,-74.00802374463224,"POLYGON ((-74.0065531563969472 40.7009349634634319, -74.0065531563969472 40.7031872157156869, -74.0094943328675328 40.7031872157156869, -74.0094943328675328 40.7009349634634319, -74.0065531563969472 40.7009349634634319))",0.0,1,384.0
M-0041,40.7020610927249,-74.00508256816165,"POLYGON ((-74.0036119799263616 40.7009349634634319, -74.0036119799263616 40.7031872157156869, -74.0065531563969472 40.7031872157156869, -74.0065531563969472 40.7009349634634319, -74.0036119799263616 40.7009349634634319))",0.0,1,384.0
M-0042,40.704313344977066,-74.01978845051458,"POLYGON ((-74.0183178622792894 40.7031872157156869, -74.0183178622792894 40.7054394679679419, -74.0212590387498750 40.7054394679679419, -74.0212590387498750 40.7031872157156869, -74.0183178622792894 40.7031872157156869))",0.0,1,694.0
M-0043,40.70431334497707,-74.016847274044,"POLYGON ((-74.0153766858087039 40.7031872157156869, -74.0153766858087039 40.7054394679679419, -74.0183178622792894 40.7054394679679419, -74.0183178622792894 40.7031872157156869, -74.0153766858087039 40.7031872157156869))",1.0,1,894.0
M-0044,40.704313344977066,-74.01390609757341,"POLYGON ((-74.0124355093381183 40.7031872157156869, -74.0124355093381183 40.7054394679679419, -74.0153766858087039 40.7054394679679419, -74.0153766858087039 40.7031872157156869, -74.0124355093381183 40.7031872157156869))",13.0,2,549.0
M-0045,40.704313344977066,-74.01096492110283,"POLYGON ((-74.0094943328675328 40.7031872157156869, -74.0094943328675328 40.7054394679679419, -74.0124355093381183 40.7054394679679419, -74.0124355093381183 40.7031872157156869, -74.0094943328675328 40.7031872157156869))",71.0,8,3077.0
M-0046,40.70431334497705,-74.00802374463224,"POLYGON ((-74.0065531563969472 40.7031872157156869, -74.0065531563969472 40.7054394679679419, -74.0094943328675328 40.7054394679679419, -74.0094943328675328 40.7031872157156869, -74.0065531563969472 40.7031872157156869))",16.0,2,769.0
M-0047,40.704313344977066,-74.00508256816165,"POLYGON ((-74.0036119799263616 40.7031872157156869, -74.0036119799263616 40.7054394679679419, -74.0065531563969472 40.7054394679679419, -74.0065531563969472 40.7031872157156869, -74.0036119799263616 40.7031872157156869))",4.0,1,644.0
M-0048,40.70431334497707,-74.00214139169107,"POLYGON ((-74.0006708034557761 40.7031872157156869, -74.0006708034557761 40.7054394679679419, -74.0036119799263616 40.7054394679679419, -74.0036119799263616 40.7031872157156869, -74.0006708034557761 40.7031872157156869))",0.0,1,966.0
M-0049,40.704313344977066,-73.99920021522048,"POLYGON ((-73.9977296269851905 40.7031872157156869, -73.9977296269851905 40.7054394679679419, -74.0006708034557761 40.7054394679679419, -74.0006708034557761 40.7031872157156869, -73.9977296269851905 40.7031872157156869))",0.0,1,656.0
M-0050,40.70656559722921,-74.01978845051458,"POLYGON ((-74.0183178622792894 40.7054394679679419, -74.0183178622792894 40.7076917202201969, -74.0212590387498750 40.7076917202201969, -74.0212590387498750 40.7054394679679419, -74.0183178622792894 40.7054394679679419))",0.0,1,694.0
M-0051,40.70656559722921,-74.016847274044,"POLYGON ((-74.0153766858087039 40.7054394679679419, -74.0153766858087039 40.7076917202201969, -74.0183178622792894 40.7076917202201969, -74.0183178622792894 40.7054394679679419, -74.0153766858087039 40.7054394679679419))",3.0,1,894.0
M-0052,40.70656559722921,-74.01390609757341,"POLYGON ((-74.0124355093381183 40.7054394679679419, -74.0124355093381183 40.7076917202201969, -74.0153766858087039 40.7076917202201969, -74.0153766858087039 40.7054394679679419, -74.0124355093381183 40.7054394679679419))",12.0,2,1169.0
M-0053,40.70656559722921,-74.01096492110283,"POLYGON ((-74.0094943328675328 40.7054394679679419, -74.0094943328675328 40.7076917202201969, -74.0124355093381183 40.7076917202201969, -74.0124355093381183 40.7054394679679419, -74.0094943328675328 40.7054394679679419))",21.0,3,1754.0
M-0054,40.70656559722919,-74.00802374463224,"POLYGON ((-74.0065531563969472 40.7054394679679419, -74.0065531563969472 40.7076917202201969, -74.0094943328675328 40.7076917202201969, -74.0094943328675328 40.7054394679679419, -74.0065531563969472 40.7054394679679419))",33.0,4,2579.0
M-0055,40.70656559722921,-74.00508256816165,"POLYGON ((-74.0036119799263616 40.7054394679679419, -74.0036119799263616 40.7076917202201969, -74.0065531563969472 40.7076917202201969, -74.0065531563969472 40.7054394679679419, -74.0036119799263616 40.7054394679679419))",23.0,3,2901.0
M-0056,40.70656559722921,-74.00214139169107,"POLYGON ((-74.0006708034557761 40.7054394679679419, -74.0006708034557761 40.7076917202201969, -74.0036119799263616 40.7076917202201969, -74.0036119799263616 40.7054394679679419, -74.0006708034557761 40.7054394679679419))",30.0,4,2629.0
M-0057,40.70656559722921,-73.99920021522048,"POLYGON ((-73.9977296269851905 40.7054394679679419, -73.9977296269851905 40.7076917202201969, -74.0006708034557761 40.7076917202201969, -74.0006708034557761 40.7054394679679419, -73.9977296269851905 40.7054394679679419))",0.0,1,983.0
M-0058,40.70881784948135,-74.01978845051458,"POLYGON ((-74.0183178622792894 40.7076917202201969, -74.0183178622792894 40.7099439724724519, -74.0212590387498750 40.7099439724724519, -74.0212590387498750 40.7076917202201969, -74.0183178622792894 40.7076917202201969))",0.0,1,694.0
M-0059,40.70881784948135,-74.016847274044,"POLYGON ((-74.0153766858087039 40.7076917202201969, -74.0153766858087039 40.7099439724724519, -74.0183178622792894 40.7099439724724519, -74.0183178622792894 40.7076917202201969, -74.0153766858087039 40.7076917202201969))",1.0,1,894.0
M-0060,40.70881784948135,-74.01390609757341,"POLYGON ((-74.0124355093381183 40.7076917202201969, -74.0124355093381183 40.7099439724724519, -74.0153766858087039 40.7099439724724519, -74.0153766858087039 40.7076917202201969, -74.0124355093381183 40.7076917202201969))",26.0,3,2684.0
M-0061,40.70881784948137,-74.01096492110283,"POLYGON ((-74.0094943328675328 40.7076917202201969, -74.0094943328675328 40.7099439724724519, -74.0124355093381183 40.7099439724724519, -74.0124355093381183 40.7076917202201969, -74.0094943328675328 40.7076917202201969))",24.0,3,2534.0
M-0062,40.70881784948135,-74.00802374463224,"POLYGON ((-74.0065531563969472 40.7076917202201969, -74.0065531563969472 40.7099439724724519, -74.0094943328675328 40.7099439724724519, -74.0094943328675328 40.7076917202201969, -74.0065531563969472 40.7076917202201969))",45.0,5,4835.0
M-0063,40.70881784948135,-74.00508256816165,"POLYGON ((-74.0036119799263616 40.7076917202201969, -74.0036119799263616 40.7099439724724519, -74.0065531563969472 40.7099439724724519, -74.0065531563969472 40.7076917202201969, -74.0036119799263616 40.7076917202201969))",18.0,2,1314.0
M-0064,40.70881784948137,-74.00214139169107,"POLYGON ((-74.0006708034557761 40.7076917202201969, -74.0006708034557761 40.7099439724724519, -74.0036119799263616 40.7099439724724519, -74.0036119799263616 40.7076917202201969, -74.0006708034557761 40.7076917202201969))",5.0,1,1028.0
M-0065,40.70881784948137,-73.99920021522048,"POLYGON ((-73.9977296269851905 40.7076917202201969, -73.9977296269851905 40.7099439724724519, -74.0006708034557761 40.7099439724724519, -74.0006708034557761 40.7076917202201969, -73.9977296269851905 40.7076917202201969))",1.0,1,983.0
M-0066,40.70881784948135,-73.9962590387499,"POLYGON ((-73.9947884505146050 40.7076917202201969, -73.9947884505146050 40.7099439724724519, -73.9977296269851905 40.7099439724724519, -73.9977296269851905 40.7076917202201969, -73.9947884505146050 40.7076917202201969))",0.0,1,1649.0
M-0067,40.70881784948137,-73.99331786227931,"POLYGON ((-73.9918472740440194 40.7076917202201969, -73.9918472740440194 40.7099439724724519, -73.9947884505146050 40.7099439724724519, -73.9947884505146050 40.7076917202201969, -73.9918472740440194 40.7076917202201969))",0.0,1,1633.0
M-0068,40.70881784948135,-73.99037668580873,"POLYGON ((-73.9889060975734338 40.7076917202201969, -73.9889060975734338 40.7099439724724519, -73.9918472740440194 40.7099439724724519, -73.9918472740440194 40.7076917202201969, -73.9889060975734338 40.7076917202201969))",0.0,1,1633.0
M-0069,40.70881784948135,-73.98743550933814,"POLYGON ((-73.9859649211028483 40.7076917202201969, -73.9859649211028483 40.7099439724724519, -73.9889060975734338 40.7099439724724519, -73.9889060975734338 40.7076917202201969, -73.9859649211028483 40.7076917202201969))",0.0,1,896.0
M-0070,40.70881784948137,-73.98449433286756,"POLYGON ((-73.9830237446322627 40.7076917202201969, -73.9830237446322627 40.7099439724724519, -73.9859649211028483 40.7099439724724519, -73.9859649211028483 40.7076917202201969, -73.9830237446322627 40.7076917202201969))",0.0,1,856.0
M-0071,40.70881784948135,-73.98155315639697,"POLYGON ((-73.9800825681616772 40.7076917202201969, -73.9800825681616772 40.7099439724724519, -73.9830237446322627 40.7099439724724519, -73.9830237446322627 40.7076917202201969, -73.9800825681616772 40.7076917202201969))",0.0,1,605.0
M-0072,40.71107010173351,-74.01978845051458,"POLYGON ((-74.0183178622792894 40.7099439724724519, -74.0183178622792894 40.7121962247247069, -74.0212590387498750 40.7121962247247069, -74.0212590387498750 40.7099439724724519, -74.0183178622792894 40.7099439724724519))",0.0,1,694.0
M-0073,40.71107010173351,-74.016847274044,"POLYGON ((-74.0153766858087039 40.7099439724724519, -74.0153766858087039 40.7121962247247069, -74.0183178622792894 40.7121962247247069, -74.0183178622792894 40.7099439724724519, -74.0153766858087039 40.7099439724724519))",27.0,3,3115.0
